IDENTIFIERS:	2348381
KEYWORDS:	0
CONSTANTS:	93522
STRING_LITERALS:	20523
OPERATORS:	781282
OTHER_SEPARATORS:	1906140
COMMENTS:	42812
DIRECTIVES:	27530
